Route | Raw kB | Gzip kB
/api/cron/sync-sleeper-market/route | 344 | 101
/api/cron/sync-weekly-projections/route | 344 | 101
/api/discord/membership/route | 344 | 101
/api/cron/sync-sleeper-stats/route | 344 | 101
/api/cron/would-you-rather-discord/route | 344 | 101
/api/cron/recalculate-derived/route | 344 | 101
/api/games/signal-scout/me/stats/route | 344 | 101
/api/games/signal-scout/leaderboards/route | 344 | 101
/api/donate/checkout/route | 344 | 101
/api/games/signal-scout/round/[id]/guess/route | 344 | 101
/api/games/signal-scout/round/[id]/route | 344 | 101
/api/games/signal-scout/round/[id]/hint/route | 344 | 101
/api/games/signal-scout/round/[id]/skip/route | 344 | 101
/api/donate/webhook/route | 344 | 101
/api/games/signal-scout/round/route | 344 | 101
/api/games/signal-scout/search/route | 344 | 101
/api/games/would-you-rather/next/route | 344 | 101
/api/games/would-you-rather/vote/route | 344 | 101
/api/manager-pulse/runs/[run_id]/report/route | 344 | 101
/api/leagues/bulk-sync/route | 344 | 101
/api/guide/submit/route | 344 | 101
/api/manager-pulse/runs/[run_id]/route | 344 | 101
/api/og/join/route | 344 | 101
/api/og/guide/[slug]/route | 344 | 101
/api/og/brief/[slug]/route | 344 | 101
/api/og/league/[league_id]/route | 344 | 101
/api/og/page/[key]/route | 344 | 101
/api/og/breakdown/[a]/[b]/route | 344 | 101
/api/og/matchup/[league_id]/[week]/[roster_id]/route | 344 | 101
/api/og/signal-check/[shareId]/route | 344 | 101
/api/og/signal/[handle]/route | 344 | 101
/api/og/player/[slug]/route | 344 | 101
/api/on-the-clock/board/route | 344 | 101
/api/on-the-clock/draft/route | 344 | 101
/api/og/war/[league_id]/route | 344 | 101
/api/on-the-clock/draft/snapshot/route | 344 | 101
/api/on-the-clock/draft/sync/route | 344 | 101
/api/on-the-clock/player-brief/route | 344 | 101
/api/og/trade/[transaction_id]/route | 344 | 101
/api/on-the-clock/leagues/route | 344 | 101
/api/on-the-clock/pulse/route | 344 | 101
/api/on-the-clock/transactions/route | 344 | 101
/api/on-the-clock/report-format/route | 344 | 101
/api/og/team/[league_id]/[roster_id]/route | 344 | 101
/api/signal/gif/search/route | 344 | 101
/api/signal/report/route | 344 | 101
/brief/rss.xml/route | 344 | 101
/llms.txt/route | 344 | 101
/sitemap.xml/route | 344 | 101
/sitemaps/articles.xml/route | 344 | 101
/sitemaps/core.xml/route | 344 | 101
/sitemaps/players.xml/route | 344 | 101
/sitemaps/profiles.xml/route | 344 | 101
/tools/manager-pulse/[handle]/loading | 344 | 101
/admin/layout | 344 | 101
/admin/system/league-health/page | 344 | 101

Ten largest chunks:
Chunk | Raw kB | Gzip kB
--- | --- | ---
static/chunks/app/tools/on-the-clock/page-9f4301a9fd640641.js | 181 | 50
static/chunks/1255-623a1bc706ecd6cc.js | 170 | 45
static/chunks/4bd1b696-100b9d70ed4e49c1.js | 169 | 53
static/chunks/7394-84fba39617d75fa6.js | 109 | 28
static/chunks/app/layout-772214fdf7d1f816.js | 80 | 22
static/chunks/app/games/signal-scout/page-94047ce0e599cccf.js | 77 | 20
static/chunks/app/tools/faab/page-4b7617d12c085f20.js | 67 | 19
static/chunks/7424-3039d56940496a64.js | 65 | 18
static/chunks/app/tools/signal-check/page-a9ad0485e85f7fec.js | 55 | 15
static/chunks/app/my-beacon/draft-tracker/[trackerId]/page-2771800c04f31bd8.js | 48 | 13
